,dt,cnt_eq_0,cnt_1_10,cnt_11_100,cnt_101_1000,cnt_gt_1000,total
0,20260330,2318253,1488225,477367,70265,14267,4368377
1,20260331,2419987,1545939,476630,69035,14381,4525972
2,20260401,2384027,978298,536985,41245,8827,3949382
3,20260402,2262572,1357329,424158,61434,12495,4117988
4,20260403,2134818,1476122,525148,79930,15700,4231718
5,20260404,2490009,1428729,392237,52788,11090,4374853
6,20260405,2331171,1521523,470207,70622,13499,4407022
7,20260406,2555427,1583905,508243,84587,16739,4748901
8,20260407,2520515,1545250,476098,78503,15972,4636338
